warehouse,customer,amount,type
临平仓,后陡门,13491.68,A类
海宁仓,哇啊哦,,A类
临平仓,后陡门,,A类
临平仓,明吉,8355503.39,A类
海宁仓,沐铭安乃安,,A类
临平仓,明吉,,A类
海宁仓,哇啊哦,2095689.47,A类
海宁仓,希琳妮,,A类
临平仓,艾莱芙,,A类
海宁仓,沐铭安乃安,1424134.91,A类
海宁仓,星典,,A类
临平仓,尼尔斯嘉,,A类
临平仓,艾莱芙,648178.69,A类
海宁仓,亿吉,,A类
临平仓,歪几特波,,A类
临平仓,尼尔斯嘉,665287.7,A类
海宁仓,waki,,B+类
临平仓,滴滴直播,,B+类
海宁仓,希琳妮,560979.45,A类
海宁仓,品彩/宝娜斯,,B+类
临平仓,衣创,,B类
海宁仓,星典,506014.54,A类
海宁仓,品彩533,,B+类
临平仓,尚亦,,B类
临平仓,歪几特波,160436.472000001,A类
海宁仓,凯创,,B+类
临平仓,贝茜妮,,B类
海宁仓,亿吉,352164.55,A类
海宁仓,酷岛,,B+类
临平仓,时柬,,B类
海宁仓,品彩/宝娜斯,154910.49,B+类
海宁仓,六叁,,B+类
临平仓,岩盒,,B类
海宁仓,品彩533,15739.47,B+类
海宁仓,铂梵,,B类
临平仓,简禾,,B类
海宁仓,凯创,245456.0224,B+类
海宁仓,固始县,,B类
临平仓,北京OS,,C类
临平仓,滴滴直播,28639.24,B+类
海宁仓,依兰-其他,,B类
临平仓,睡儿美,,C类
